,CVX_close,XOM_close,spread,z_score,signal,position,cvx_returns,xom_returns,spread_returns,transaction_costs,net_returns,cum_returns,portfolio_value
2025-11-19 01:35:10.763715,105.72003262669753,100.75792908073424,6.461291340681399,,0,0,,,,,,1.0,100000.0
2025-11-19 01:50:10.763715,105.19368190681081,100.55923267820842,6.130680598707187,,0,0,-0.004978722639495281,-0.0019720175309142496,0.0,0.0,0.0,1.0,100000.0
2025-11-19 02:05:10.763715,106.0805896608015,101.5511143966022,6.040464946424905,,0,0,0.008431188431795578,0.009863656394115683,0.0,0.0,0.0,1.0,100000.0
2025-11-19 02:20:10.763715,107.94324887769788,103.90818884565256,5.581120872218477,,0,0,0.01755890708047847,0.02321071967605337,0.0,0.0,0.0,1.0,100000.0
2025-11-19 02:35:10.763715,107.49148100330675,103.55422712369969,5.478048086194235,,0,0,-0.004185235103521867,-0.0034064853394629724,0.0,0.0,0.0,1.0,100000.0
2025-11-19 02:50:10.763715,106.25383139365657,103.20149658224318,4.587880703278344,,0,0,-0.011513932063249799,-0.0034062399117242848,0.0,0.0,0.0,1.0,100000.0
2025-11-19 03:05:10.763715,108.81004697279478,105.68590627432532,4.696652382718497,,0,0,0.024057632045923816,0.02407338821973637,0.0,0.0,0.0,1.0,100000.0
2025-11-19 03:20:10.763715,110.06283803622038,106.92023272311877,4.733482670043728,,0,0,0.011513560542243173,0.011679196330961705,0.0,0.0,0.0,1.0,100000.0
2025-11-19 03:35:10.763715,109.02716479705262,106.18055053767583,4.426485807500654,,0,0,-0.009409835850561432,-0.0069180749667692165,0.0,0.0,0.0,1.0,100000.0
2025-11-19 03:50:10.763715,110.28345812080624,107.05892167330788,4.817477371876649,,0,0,0.0115227551417314,0.008272429660461933,0.0,0.0,0.0,1.0,100000.0
2025-11-19 04:05:10.763715,110.12893602123779,106.32793952401994,5.383061061528309,,0,0,-0.0014011357841099414,-0.006827848981316498,0.0,0.0,0.0,1.0,100000.0
2025-11-19 04:20:10.763715,108.6761156646048,105.5982861021488,4.649037536973239,,0,0,-0.013191994848227973,-0.006862292499388634,0.0,0.0,0.0,1.0,100000.0
2025-11-19 04:35:10.763715,108.75169535199802,105.99284322852198,4.335930754859447,,0,0,0.0006954581227993639,0.0037363970660613255,0.0,0.0,0.0,1.0,100000.0
2025-11-19 04:50:10.763715,105.62524353603634,103.00446856870838,4.153389258714384,,0,0,-0.02874853404208788,-0.028194117345928915,0.0,0.0,0.0,1.0,100000.0
2025-11-19 05:05:10.763715,102.7768937195906,100.38357557281034,3.886935896390156,,0,0,-0.026966563305238278,-0.025444459180426593,0.0,0.0,0.0,1.0,100000.0
2025-11-19 05:20:10.763715,102.52951242845997,99.55042413509932,4.460309495344333,,0,0,-0.002406973806832302,-0.008299678836471869,0.0,0.0,0.0,1.0,100000.0
2025-11-19 05:35:10.763715,101.11814753137187,98.05924376384047,4.517937540369701,,0,0,-0.013765450197306572,-0.014979146339298088,0.0,0.0,0.0,1.0,100000.0
